[2021-10-28 22:18:43,751] [INFO] ************************************* Maxims_VMP_Report Start *************************************
[2021-10-28 22:18:43,751] [INFO] ['Maxims_VMP_Report.py']
[2021-10-28 22:18:43,752] [INFO] ************************************* readCSV Start *************************************
[2021-10-28 22:18:43,754] [INFO] ['Record Identifier', 'File ID', 'File Date', 'MID', 'MID name']
[2021-10-28 22:18:43,754] [INFO] ['`RH', '`852000058140011_20211027', '`20211027', '`852000058140011', '`Maxims MX']
[2021-10-28 22:18:43,754] [INFO] ['Record Identifier', 'Settlement Date', 'Terminal ID', 'Batch Number', 'Transaction Date', 'Transaction Time', 'Settlement no', 'Payment Type', 'Currency', 'Wallet Version', 'FX Rate', 'Transaction amount HKD', 'Transaction amount RMB', 'MDR Fee HKD', 'MDR', 'Net Amount HKD', 'Trace Number', 'Trans Type', 'RRN', 'Merchant RRN', 'User confirm key']
[2021-10-28 22:18:43,777] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`112353', '`2021102722001327771405188071', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`36', '`', '`0.43', '`', '`35.57', '`7993950', '`S', '`58140011000070111tdavbs5v835', '`04998904838100102744', '`852000058140011']
[2021-10-28 22:18:43,777] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`112547', '`2021102722001366851410729589', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`45.5', '`', '`0.55', '`', '`44.95', '`7994007', '`S', '`58140011000070111tdavbuar900', '`04998904838300102732', '`852000058140011']
[2021-10-28 22:18:43,778] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`112628', '`2021102722001355501402294973', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`36', '`', '`0.43', '`', '`35.57', '`7994031', '`S', '`58140011000070111tdavbupv928', '`04998904838400102714', '`852000058140011']
[2021-10-28 22:18:43,778] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`112652', '`2021102722001341111410445456', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`48.5', '`', '`0.58', '`', '`47.92', '`7994044', '`S', '`58140011000070111tdavbuv1942', '`04998904838600102745', '`852000058140011']
[2021-10-28 22:18:43,779] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`112709', '`2021102722001374861418543653', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`41', '`', '`0.49', '`', '`40.51', '`7994053', '`S', '`58140011000070111tdavc09e952', '`04998904838700102703', '`852000058140011']
[2021-10-28 22:18:43,779] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`112806', '`2021102722001364231412655132', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`56', '`', '`0.67', '`', '`55.33', '`7994069', '`S', '`58140011000070111tdavc0ji973', '`04998904838800102701', '`852000058140011']
[2021-10-28 22:18:43,779] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`112945', '`2021102722001374271410081216', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`46', '`', '`0.55', '`', '`45.45', '`7994127', '`S', '`58140011000070111tdavc1i4040', '`04998904838900102738', '`852000058140011']
[2021-10-28 22:18:43,780] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`113035', '`2021102722001386591457157339', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`47', '`', '`0.56', '`', '`46.44', '`7994144', '`S', '`58140011000070111tdavc321063', '`04998904839000102728', '`852000058140011']
[2021-10-28 22:18:43,780] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`113055', '`2021102722001383831418802006', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`49.5', '`', '`0.59', '`', '`48.91', '`7994145', '`S', '`58140011000070111tdavc2nj064', '`04998904839100102734', '`852000058140011']
[2021-10-28 22:18:43,781] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`113108', '`2021102722001353891419506773', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`40', '`', '`0.48', '`', '`39.52', '`7994157', '`S', '`58140011000070111tdavc3ad076', '`04998904839200102758', '`852000058140011']
[2021-10-28 22:18:43,781] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`113435', '`2021102722001353411401800762', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`36', '`', '`0.43', '`', '`35.57', '`7994251', '`S', '`58140011000070111tdavc6sm187', '`04998904839400102728', '`852000058140011']
[2021-10-28 22:18:43,781] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`113503', '`2021102722001327001454888777', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`43', '`', '`0.52', '`', '`42.48', '`7994256', '`S', '`58140011000070111tdavc753193', '`04998904839500102752', '`852000058140011']
[2021-10-28 22:18:43,782] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`113536', '`2021102722001376261405954538', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`60', '`', '`0.72', '`', '`59.28', '`7994268', '`S', '`58140011000070111tdavc7du206', '`04998904839700102727', '`852000058140011']
[2021-10-28 22:18:43,782] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`113537', '`2021102722001348171410528845', '`ALIPAY', '`HKD', '`ALIPAYHK', '`', '`38.5', '`', '`0.46', '`', '`38.04', '`7994260', '`S', '`58140011000070111tdavc7h1197', '`04998904839600102759', '`852000058140011']
[2021-10-28 22:18:43,783] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`113545', '`2021102722001390831419528281', '`ALIPAY', '`HKD', '`ALIPAYHK', '`', '`41', '`', '`0.49', '`', '`40.51', '`7994273', '`S', '`58140011000070111tdavc7do211', '`04998904839800102737', '`852000058140011']
[2021-10-28 22:18:43,784] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`113642', '`2021102722001375331411540129', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`43', '`', '`0.52', '`', '`42.48', '`7994306', '`S', '`58140011000070111tdavc8t8245', '`04998904839900102732', '`852000058140011']
[2021-10-28 22:18:43,785] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`113714', '`2021102722001370351414494261', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`43', '`', '`0.52', '`', '`42.48', '`7994318', '`S', '`58140011000070111tdavc9pl257', '`04998904840000102700', '`852000058140011']
[2021-10-28 22:18:43,785] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`113750', '`2021102722001348171410572668', '`ALIPAY', '`HKD', '`ALIPAYHK', '`', '`36', '`', '`0.43', '`', '`35.57', '`7994333', '`S', '`58140011000070111tdavc9ro274', '`04998904840200102739', '`852000058140011']
